logPriorICSE,-0.35667494393873245,logPriorVLDB,-1.2039728043259361
Word,Count,CountICSE,CountVLDB,CountDocICSE,CountDocVLDB,logCondProbICSE,logCondProbVLDB
ACMIEEE,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ACMIEEECS,3,3,0,3,0,-10.766746637858477,-11.33866731138583
ACO,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ACRUM,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ACS,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ACSE,2,2,0,2,0,-11.054428710310258,-11.33866731138583
ACTIVIEW,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ACoM07,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ADA,4,4,0,4,0,-10.543603086544268,-11.33866731138583
ADABAS,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ADAPT,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ADAPTX,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ADAS,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ADC,2,2,0,2,0,-11.054428710310258,-11.33866731138583
ADD,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ADDICT,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ADEan,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ADL,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ADL2,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ADLNET,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ADLs,2,2,0,2,0,-11.054428710310258,-11.33866731138583
ADMS,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ADORA,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ADS,2,1,1,1,1,-11.459893818418422,-10.645520130825885
ADSM,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AES,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AFM,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AFilter,1,0,1,0,1,-12.153040998978367,-10.645520130825885
